invalid_url,job_id,reason
https://ads-cdn.fptplay.net/static/banner/2025/01/03_6777ac3710013f0001229a7b.jpg,url_7587,File ảnh (.jpg)
https://ads-cdn.fptplay.net/static/banner/2025/03/18_67d9262010013f00015c338a.png,url_7811,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/01/21_678f1f4c10013f000157ae32.png,url_7919,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/01/20_678df62d10013f0001fdf66e.png,url_7969,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/02/11_67ab198010013f0001367732.png,url_8376,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/02/25_67bd76b310013f0001317533.png,url_8396,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/02/14_67af083910013f000112df16.png,url_8433,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/02/14_67af051510013f0001dba05e.png,url_8483,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2023/02/21_63f4959667dba400012eb212.jpg,url_8892,File ảnh (.jpg)
https://ads-cdn.fptplay.net/static/banner/2025/02/14_67af0f5f10013f000127a0a8.png,url_8928,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2024/11/22_6740334c10013f0001676f59.png,url_9086,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/03/18_67d8d12310013f000130421e.png,url_9087,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/01/03_6777ac1710013f0001229988.jpg,url_9143,File ảnh (.jpg)
https://ads-cdn.fptplay.net/static/banner/2024/11/22_6740361610013f0001939d1b.png,url_9199,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/07/24_6881b80410013f0001271c02.png,url_9200,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/04/16_67ff719d10013f0001357120.png,url_9256,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2024/11/29_6749690210013f00012bf209.png,url_9293,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/02/20_67b70b5610013f0001178730.png,url_9524,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/03/05_67c818c810013f00013751a6.png,url_9609,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/03/04_67c6cb1510013f00013900ad.png,url_9615,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/02/25_67bd71d010013f00011d1586.png,url_9759,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/03/20_67dbc3fa10013f000133e3cf.png,url_9767,File ảnh (.png)
https://ads-cdn.fptplay.net/static/banner/2025/03/25_67e276f110013f0001380334.png,url_9780,File ảnh (.png)
